event_id,Source,Classification code,Date reported (from filename),Impact start date,Impact end date,Extracted impact description,Places affected,SP_NAME,MP_NAME,Metropolitan/District area,Direct quote,Source document full name (on CASCADE G-DRIVE),Link to the online source,Publication title,Reviewer initials,Impact date verified,Place name verified,Notes (if issues identified),ValidationSheet,year,impact_category_label,sp_norm,mp_norm,mn_norm
EVT-00277,SAWS,1.7,2014-08-01,2014-08-27,2014-08-28,Damage caused by flooding in several low-lying areas and informal settlements affecting approximately 3 000 structures.,"Cape Town, Low-lying areas, Informal settlements",,,City of Cape Town,"""Damage caused by flooding occurred in several low-lying areas as well as informal settlements in and around Cape Town, Western Cape following heavy rain on the 27th and 28th. According to reports at least 3 000 structures were effected""",20140801_SAWS_Several_LowLyingAreas_CapeTown_NotSpecified.pdf,https://journals.co.za/doi/epdf/10.10520/EJC158228,,,,,,SAWSValidation,2014,Other / needs review,,,city of cape town
EVT-00278,SAWS,4.5,2014-08-01,2014-08-27,2014-08-28,"Approximately 10,000 people were in need of assistance following flooding in several areas.","Cape Town, Low-lying areas, Informal settlements",,,City of Cape Town,"""According to reports at least 3 000 structures were effected with about 10 000 people in need of some sort of assistance.""",20140801_SAWS_Several_LowLyingAreas_CapeTown_NotSpecified.pdf,https://journals.co.za/doi/epdf/10.10520/EJC158228,,,,,,SAWSValidation,2014,Other / needs review,,,city of cape town
EVT-00279,SAWS,1.3,2015-06-01,2015-06-02,2015-06-03,"Several homes flooded in the Cape Flats area, resulting in over 1 000 people becoming homeless.",Gugulethu,,Gugulethu,City of Cape Town,"""In the Cape Flats several homes were flooded, especially those in Khayelitsha, Philippi and Guguletu leaving more than 1 000 people homeless.""",20150601_SAWS_Khayeltsha_Gugulethu_Philippi.pdf,https://journals.co.za/doi/epdf/10.10520/EJC173725,,,,,,SAWSValidation,2015,Buildings/homes/roads flooded or damaged,,gugulethu,city of cape town
EVT-00280,SAWS,1.3,2015-06-01,2015-06-02,2015-06-03,"Several homes flooded in the Cape Flats area, resulting in over 1 000 people becoming homeless.",Khayelitsha,,Khayelitsha,City of Cape Town,"""In the Cape Flats several homes were flooded, especially those in Khayelitsha, Philippi and Guguletu leaving more than 1 000 people homeless.""",20150601_SAWS_Khayeltsha_Gugulethu_Philippi.pdf,https://journals.co.za/doi/epdf/10.10520/EJC173725,,,,,,SAWSValidation,2015,Buildings/homes/roads flooded or damaged,,khayelitsha,city of cape town
EVT-00281,SAWS,1.3,2015-06-01,2015-06-02,2015-06-03,"Several homes flooded in the Cape Flats area, resulting in over 1 000 people becoming homeless.",Philippi,,Philippi,City of Cape Town,"""In the Cape Flats several homes were flooded, especially those in Khayelitsha, Philippi and Guguletu leaving more than 1 000 people homeless.""",20150601_SAWS_Khayeltsha_Gugulethu_Philippi.pdf,https://journals.co.za/doi/epdf/10.10520/EJC173725,,,,,,SAWSValidation,2015,Buildings/homes/roads flooded or damaged,,philippi,city of cape town
EVT-00282,SAWS,1.3,2015-06-01,2015-06-02,2015-06-03,Access road to a home was cut off and rendered impassable due to flooding.,Wittedrift outside of Plettenberg Bay,,,Garden Route,"""In Wittedrift outside Plettenberg Bay an 82-year-old woman was rescued by the NSRI and taken to hospital when the road to her home was cut off by the flooding.""",20150601_SAWS_Khayeltsha_Gugulethu_Philippi.pdf,https://journals.co.za/doi/epdf/10.10520/EJC173725,,,,,,SAWSValidation,2015,Buildings/homes/roads flooded or damaged,,,garden route
EVT-00283,SAWS,1.4,2015-06-01,2015-06-01,2015-06-02,Power network failures reported during stormy weather.,George,,,Garden Route,"""Furthermore power failures occurred in Paarl, as well as in the George area.""",20150601_SAWS_Khayeltsha_Gugulethu_Philippi.pdf,https://journals.co.za/doi/epdf/10.10520/EJC173725,,,,,,SAWSValidation,2015,Infrastructure/service disruption,,,garden route
EVT-00284,SAWS,1.4,2015-06-01,2015-06-01,2015-06-02,Interruptions to the power network during a period of heavy rain and gale-force winds.,Paarl,,,Cape Winelands,"""Furthermore power failures occurred in Paarl, as well as in the George area.""",20150601_SAWS_Khayeltsha_Gugulethu_Philippi.pdf,https://journals.co.za/doi/epdf/10.10520/EJC173725,,,,,,SAWSValidation,2015,Infrastructure/service disruption,,,cape winelands
EVT-00285,SAWS,3.7,2015-06-01,2015-06-01,,Large palm-trees blown over (uprooted) by gale-force winds.,Sea Point,Sea Point,Cape Town,City of Cape Town,"""Gale-force winds also caused damage and palm-trees were blown over in Sea Point on the 1st.""",20150601_SAWS_Khayeltsha_Gugulethu_Philippi.pdf,https://journals.co.za/doi/epdf/10.10520/EJC173725,,,,,,SAWSValidation,2015,Road closure / transport disruption,sea point,cape town,city of cape town
EVT-00286,SAWS,4.3,2015-06-01,2015-06-01,2015-06-02,A major national road was closed due to a truck being blown over by gale-force winds.,Hugenote Tunnel,,,Cape Winelands,"""The N1 was closed at the Hugenote Tunnel during the evening of the 1 st after the gale-force winds blew a truck over, and due to the strong winds it could only be removed to reopen the road the next morning.""",20150601_SAWS_Khayeltsha_Gugulethu_Philippi.pdf,https://journals.co.za/doi/epdf/10.10520/EJC173725,,,,,,SAWSValidation,2015,Other / needs review,,,cape winelands
EVT-00287,SAWS,4.4,2015-06-01,2015-06-02,2015-06-03,"Over 1,000 people were left homeless due to flooding in Cape Flats informal settlements.",Gugulethu,,Gugulethu,City of Cape Town,"""In the Cape Flats several homes were flooded, especially those in Khayelitsha, Philippi and Guguletu leaving more than 1 000 people homeless.""",20150601_SAWS_Khayeltsha_Gugulethu_Philippi.pdf,https://journals.co.za/doi/epdf/10.10520/EJC173725,,,,,,SAWSValidation,2015,People displaced/homeless,,gugulethu,city of cape town
EVT-00288,SAWS,4.4,2015-06-01,2015-06-02,2015-06-03,"Over 1,000 people were left homeless due to flooding in Cape Flats informal settlements.",Khayelitsha,,Khayelitsha,City of Cape Town,"""In the Cape Flats several homes were flooded, especially those in Khayelitsha, Philippi and Guguletu leaving more than 1 000 people homeless.""",20150601_SAWS_Khayeltsha_Gugulethu_Philippi.pdf,https://journals.co.za/doi/epdf/10.10520/EJC173725,,,,,,SAWSValidation,2015,People displaced/homeless,,khayelitsha,city of cape town
EVT-00289,SAWS,4.4,2015-06-01,2015-06-02,2015-06-03,"Over 1,000 people were left homeless due to flooding in Cape Flats informal settlements.",Philippi,,Philippi,City of Cape Town,"""In the Cape Flats several homes were flooded, especially those in Khayelitsha, Philippi and Guguletu leaving more than 1 000 people homeless.""",20150601_SAWS_Khayeltsha_Gugulethu_Philippi.pdf,https://journals.co.za/doi/epdf/10.10520/EJC173725,,,,,,SAWSValidation,2015,People displaced/homeless,,philippi,city of cape town
EVT-00290,SAWS,4.5,2015-06-01,2015-06-02,2015-06-03,An elderly woman required rescue by emergency services after her access road was cut off.,Wittedrift outside of Plettenberg Bay,,,Garden Route,"""In Wittedrift outside Plettenberg Bay an 82-year-old woman was rescued by the NSRI and taken to hospital when the road to her home was cut off by the flooding.""",20150601_SAWS_Khayeltsha_Gugulethu_Philippi.pdf,https://journals.co.za/doi/epdf/10.10520/EJC173725,,,,,,SAWSValidation,2015,Other / needs review,,,garden route
EVT-00291,SAWS,4.7,2015-06-01,2015-06-02,2015-06-03,An 82-year-old woman required hospitalization following a rescue from a flooded area.,Wittedrift outside of Plettenberg Bay,,,Garden Route,"""In Wittedrift outside Plettenberg Bay an 82-year-old woman was rescued by the NSRI and taken to hospital""",20150601_SAWS_Khayeltsha_Gugulethu_Philippi.pdf,https://journals.co.za/doi/epdf/10.10520/EJC173725,,,,,,SAWSValidation,2015,Other / needs review,,,garden route
EVT-00292,SAWS,1.3,2016-06-01,2016-06-13,2016-06-15,Flooding of homes and property within multiple informal settlements.,Barcelona,Barcelona,Gugulethu,City of Cape Town,"""Widespread rainfall that occurred over the Western Cape from the 13th to 15th caused flooding in many areas, including the informal settlements of Monwabisi Park, Khayelitsha, Nomzamo, Chris Hani Park, Simanyene New Village in Strand and New Crossroads, Barcelona and Mashulanga in Gugulethu.""",20160601_SAWS_Khayeltsha_Nomzamo_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC192807,,,,,,SAWSValidation,2016,Buildings/homes/roads flooded or damaged,barcelona,gugulethu,city of cape town
EVT-00293,SAWS,1.3,2016-06-01,2016-06-13,2016-06-15,Flooding of homes and property within multiple informal settlements.,Chris Hani Park,,Khayelitsha,City of Cape Town,"""Widespread rainfall that occurred over the Western Cape from the 13th to 15th caused flooding in many areas, including the informal settlements of Monwabisi Park, Khayelitsha, Nomzamo, Chris Hani Park, Simanyene New Village in Strand and New Crossroads, Barcelona and Mashulanga in Gugulethu.""",20160601_SAWS_Khayeltsha_Nomzamo_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC192807,,,,,,SAWSValidation,2016,Buildings/homes/roads flooded or damaged,,khayelitsha,city of cape town
EVT-00294,SAWS,1.3,2016-06-01,2016-06-13,2016-06-15,Flooding of homes and property within multiple informal settlements.,Khayelitsha,,Khayelitsha,City of Cape Town,"""Widespread rainfall that occurred over the Western Cape from the 13th to 15th caused flooding in many areas, including the informal settlements of Monwabisi Park, Khayelitsha, Nomzamo, Chris Hani Park, Simanyene New Village in Strand and New Crossroads, Barcelona and Mashulanga in Gugulethu.""",20160601_SAWS_Khayeltsha_Nomzamo_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC192807,,,,,,SAWSValidation,2016,Buildings/homes/roads flooded or damaged,,khayelitsha,city of cape town
EVT-00295,SAWS,1.3,2016-06-01,2016-06-13,2016-06-15,Flooding of homes and property within multiple informal settlements.,Mashulanga in Gugulethu,,Gugulethu,City of Cape Town,"""Widespread rainfall that occurred over the Western Cape from the 13th to 15th caused flooding in many areas, including the informal settlements of Monwabisi Park, Khayelitsha, Nomzamo, Chris Hani Park, Simanyene New Village in Strand and New Crossroads, Barcelona and Mashulanga in Gugulethu.""",20160601_SAWS_Khayeltsha_Nomzamo_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC192807,,,,,,SAWSValidation,2016,Buildings/homes/roads flooded or damaged,,gugulethu,city of cape town
EVT-00296,SAWS,1.3,2016-06-01,2016-06-13,2016-06-15,Flooding of homes and property within multiple informal settlements.,Monwabisi Park,,Khayelitsha,City of Cape Town,"""Widespread rainfall that occurred over the Western Cape from the 13th to 15th caused flooding in many areas, including the informal settlements of Monwabisi Park, Khayelitsha, Nomzamo, Chris Hani Park, Simanyene New Village in Strand and New Crossroads, Barcelona and Mashulanga in Gugulethu.""",20160601_SAWS_Khayeltsha_Nomzamo_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC192807,,,,,,SAWSValidation,2016,Buildings/homes/roads flooded or damaged,,khayelitsha,city of cape town
EVT-00297,SAWS,1.3,2016-06-01,2016-06-13,2016-06-15,Flooding of homes and property within multiple informal settlements.,New Crossroads,New Crossroads,Nyanga,City of Cape Town,"""Widespread rainfall that occurred over the Western Cape from the 13th to 15th caused flooding in many areas, including the informal settlements of Monwabisi Park, Khayelitsha, Nomzamo, Chris Hani Park, Simanyene New Village in Strand and New Crossroads, Barcelona and Mashulanga in Gugulethu.""",20160601_SAWS_Khayeltsha_Nomzamo_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC192807,,,,,,SAWSValidation,2016,Buildings/homes/roads flooded or damaged,new crossroads,nyanga,city of cape town
EVT-00298,SAWS,1.3,2016-06-01,2016-06-13,2016-06-15,Flooding of homes and property within multiple informal settlements.,Nomzamo,,Nomzamo,City of Cape Town,"""Widespread rainfall that occurred over the Western Cape from the 13th to 15th caused flooding in many areas, including the informal settlements of Monwabisi Park, Khayelitsha, Nomzamo, Chris Hani Park, Simanyene New Village in Strand and New Crossroads, Barcelona and Mashulanga in Gugulethu.""",20160601_SAWS_Khayeltsha_Nomzamo_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC192807,,,,,,SAWSValidation,2016,Buildings/homes/roads flooded or damaged,,nomzamo,city of cape town
EVT-00299,SAWS,1.3,2016-06-01,2016-06-13,2016-06-15,Flooding of homes and property within multiple informal settlements.,Simanyene New Village in Strand,,Strand,City of Cape Town,"""Widespread rainfall that occurred over the Western Cape from the 13th to 15th caused flooding in many areas, including the informal settlements of Monwabisi Park, Khayelitsha, Nomzamo, Chris Hani Park, Simanyene New Village in Strand and New Crossroads, Barcelona and Mashulanga in Gugulethu.""",20160601_SAWS_Khayeltsha_Nomzamo_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC192807,,,,,,SAWSValidation,2016,Buildings/homes/roads flooded or damaged,,strand,city of cape town
EVT-00300,SAWS,1.3,2016-06-01,2016-06-19,2016-06-20,"Approximately 1,600 homes flooded across the Cape Flats.",Gugulethu,,Gugulethu,City of Cape Town,"""Follow-up heavy rain on the19th and 20th flooded about 1 600 homes in Khayelitsha, Philippi and Gugulethu affected about 6 500 people across the Cape Flats.""",20160601_SAWS_Khayeltsha_Nomzamo_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC192807,,,,,,SAWSValidation,2016,Buildings/homes/roads flooded or damaged,,gugulethu,city of cape town
EVT-00301,SAWS,1.3,2016-06-01,2016-06-19,2016-06-20,"Approximately 1,600 homes flooded across the Cape Flats.",Khayelitsha,,Khayelitsha,City of Cape Town,"""Follow-up heavy rain on the19th and 20th flooded about 1 600 homes in Khayelitsha, Philippi and Gugulethu affected about 6 500 people across the Cape Flats.""",20160601_SAWS_Khayeltsha_Nomzamo_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC192807,,,,,,SAWSValidation,2016,Buildings/homes/roads flooded or damaged,,khayelitsha,city of cape town
EVT-00302,SAWS,1.3,2016-06-01,2016-06-19,2016-06-20,"Approximately 1,600 homes flooded across the Cape Flats.",Philippi,,Philippi,City of Cape Town,"""Follow-up heavy rain on the19th and 20th flooded about 1 600 homes in Khayelitsha, Philippi and Gugulethu affected about 6 500 people across the Cape Flats.""",20160601_SAWS_Khayeltsha_Nomzamo_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC192807,,,,,,SAWSValidation,2016,Buildings/homes/roads flooded or damaged,,philippi,city of cape town
EVT-00303,SAWS,4.4,2016-06-01,2016-06-19,2016-06-20,"Approximately 6,500 people were affected by flooding across various informal settlements.",Gugulethu,,Gugulethu,City of Cape Town,"""Follow-up heavy rain on the19th and 20th flooded about 1 600 homes in Khayelitsha, Philippi and Gugulethu affected about 6 500 people across the Cape Flats.""",20160601_SAWS_Khayeltsha_Nomzamo_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC192807,,,,,,SAWSValidation,2016,People displaced/homeless,,gugulethu,city of cape town
EVT-00304,SAWS,4.4,2016-06-01,2016-06-19,2016-06-20,"Approximately 6,500 people were affected by flooding across various informal settlements.",Khayelitsha,,Khayelitsha,City of Cape Town,"""Follow-up heavy rain on the19th and 20th flooded about 1 600 homes in Khayelitsha, Philippi and Gugulethu affected about 6 500 people across the Cape Flats.""",20160601_SAWS_Khayeltsha_Nomzamo_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC192807,,,,,,SAWSValidation,2016,People displaced/homeless,,khayelitsha,city of cape town
EVT-00305,SAWS,4.4,2016-06-01,2016-06-19,2016-06-20,"Approximately 6,500 people were affected by flooding across various informal settlements.",Philippi,,Philippi,City of Cape Town,"""Follow-up heavy rain on the19th and 20th flooded about 1 600 homes in Khayelitsha, Philippi and Gugulethu affected about 6 500 people across the Cape Flats.""",20160601_SAWS_Khayeltsha_Nomzamo_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC192807,,,,,,SAWSValidation,2016,People displaced/homeless,,philippi,city of cape town
EVT-00306,SAWS,1.6,2016-07-01,2016-07-05,,Visible structural damage to informal settlement structures.,Nomzamo informal settlement,,Nomzamo,City of Cape Town,"""90 structures were damaged in Nomzamo informal settlement.""",20160701_SAWS_Khayeltsha_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC194775,,,,,,SAWSValidation,2016,Homes damaged or destroyed,,nomzamo,city of cape town
EVT-00307,SAWS,1.6,2016-07-01,2016-07-05,,Visible structural damage to hundreds (483) of residential structures.,"Section C, Khayelitsha",,Khayelitsha,City of Cape Town,"""A total of 483 structures were dam-aged in Section C of Khayelitsha""",20160701_SAWS_Khayeltsha_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC194775,,,,,,SAWSValidation,2016,Homes damaged or destroyed,,khayelitsha,city of cape town
EVT-00308,SAWS,4.5,2016-07-01,2016-07-05,,"More than 2,000 residents were affected by flooding and strong winds in parts of Cape Town.",Cape Town,,Cape Town,City of Cape Town,"""Heavy rain conditions accompanied by strong winds caused flooding in parts of Cape Town, Western Cape and affected more than 2 000 residents on the 5th.""",20160701_SAWS_Khayeltsha_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC194775,,,,,,SAWSValidation,2016,Other / needs review,,cape town,city of cape town
EVT-00309,SAWS,4.5,2016-07-01,2016-07-05,,"More than 2,000 residents were affected by flooding and strong winds in parts of Cape Town.",Khayelitsha,,Khayelitsha,City of Cape Town,"""Heavy rain conditions accompanied by strong winds caused flooding in parts of Cape Town, Western Cape and affected more than 2 000 residents on the 5th.""",20160701_SAWS_Khayeltsha_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC194775,,,,,,SAWSValidation,2016,Other / needs review,,khayelitsha,city of cape town
EVT-00310,SAWS,4.5,2016-07-01,2016-07-05,,"More than 2,000 residents were affected by flooding and strong winds in parts of Cape Town.",Strand,,Strand,City of Cape Town,"""Heavy rain conditions accompanied by strong winds caused flooding in parts of Cape Town, Western Cape and affected more than 2 000 residents on the 5th.""",20160701_SAWS_Khayeltsha_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC194775,,,,,,SAWSValidation,2016,Other / needs review,,strand,city of cape town
EVT-00311,SAWS,1.3,2017-04-01,2017-04-08,2017-04-09,Flooding of bridges forced the closure of a mountain pass.,"Meiringspoort Pass between De Rust and Beaufort West,",,,Garden Route,"""Flooding that occurred in Meiringspoort Pass between De Rust and Beaufort West, Western Cape forced the closing of the pass after bridges were flooded.""",20170401_SAWS_KleinKaroo_PrinceAlbert_Oudshoom.pdf,https://journals.co.za/doi/epdf/10.10520/EJC-773a62b9b,,,,,,SAWSValidation,2017,Buildings/homes/roads flooded or damaged,,,garden route
EVT-00312,SAWS,1.3,2017-04-01,2017-04-08,2017-04-09,Ambulance washed away by floodwater on an inundated road.,Road between Klaarstroom and Prince Albert,,,Central Karoo,"""The ambulance was washed away by the floodwater.""",20170401_SAWS_KleinKaroo_PrinceAlbert_Oudshoom.pdf,https://journals.co.za/doi/epdf/10.10520/EJC-773a62b9b,,,,,,SAWSValidation,2017,Buildings/homes/roads flooded or damaged,,,central karoo
EVT-00313,SAWS,1.3,2017-04-01,2017-04-08,2017-04-09,"Vehicle washed off the road, indicating the road was not passable due to floodwater.",Road between Klaarstroom and Prince Albert,,,Central Karoo,"""One of four people travelling in a car between Klaar-stroom and Prince Albert was missing after their car was washed off the road by the floodwater.""",20170401_SAWS_KleinKaroo_PrinceAlbert_Oudshoom.pdf,https://journals.co.za/doi/epdf/10.10520/EJC-773a62b9b,,,,,,SAWSValidation,2017,Buildings/homes/roads flooded or damaged,,,central karoo
EVT-00314,SAWS,1.6,2017-04-01,2017-04-08,2017-04-09,Water supply infrastructure suffered damage.,Prince Albert,,,Central Karoo,"""The infrastructure supplying water to Prince Albert also suffered damage.""",20170401_SAWS_KleinKaroo_PrinceAlbert_Oudshoom.pdf,https://journals.co.za/doi/epdf/10.10520/EJC-773a62b9b,,,,,,SAWSValidation,2017,Homes damaged or destroyed,,,central karoo
EVT-00315,SAWS,1.6,2017-04-01,2017-04-08,2017-04-09,"Extensive structural damage to the road and foundation of a mountain pass, leading to its complete closure.",Swartberg Pass between Prince Albert and Oudtshoorn,,,Garden Route,"""Extensive damage was also caused to the Swartberg Pass between Prince Albert and Oudtshoorn resulting in the clo-sure of the road.""",20170401_SAWS_KleinKaroo_PrinceAlbert_Oudshoom.pdf,https://journals.co.za/doi/epdf/10.10520/EJC-773a62b9b,,,,,,SAWSValidation,2017,Homes damaged or destroyed,,,garden route
EVT-00316,SAWS,2.4,2017-04-01,2017-04-08,2017-04-09,A car was washed off the road by floodwater during a thunderstorm event.,Road between Klaarstroom and Prince Albert,,,Central Karoo,"""One of four people travelling in a car between Klaar-stroom and Prince Albert was missing after their car was washed off the road by the floodwater.""",20170401_SAWS_KleinKaroo_PrinceAlbert_Oudshoom.pdf,https://journals.co.za/doi/epdf/10.10520/EJC-773a62b9b,,,,,,SAWSValidation,2017,Other / needs review,,,central karoo
EVT-00317,SAWS,2.5,2017-04-01,2017-04-08,2017-04-09,An ambulance was washed away by floodwater following a thunderstorm in the Klein Karoo.,Road between Klaarstroom and Prince Albert,,,Central Karoo,"""The ambulance was washed away by the floodwater.""",20170401_SAWS_KleinKaroo_PrinceAlbert_Oudshoom.pdf,https://journals.co.za/doi/epdf/10.10520/EJC-773a62b9b,,,,,,SAWSValidation,2017,Other / needs review,,,central karoo
EVT-00318,SAWS,4.2,2017-04-01,2017-04-08,2017-04-09,A mountain pass was closed completely after bridges were inundated.,Meiringspoort Pass,,,Garden Route,"""Flooding that occurred in Meiringspoort Pass between De Rust and Beaufort West, Western Cape forced the closing of the pass after bridges were flooded.""",20170401_SAWS_KleinKaroo_PrinceAlbert_Oudshoom.pdf,https://journals.co.za/doi/epdf/10.10520/EJC-773a62b9b,,,,,,SAWSValidation,2017,People/residents affected,,,garden route
EVT-00319,SAWS,4.3,2017-04-01,2017-04-08,2017-04-09,Extensive road damage forced the closure of a mountain pass.,Swartberg Pass between Prince Albert and Oudtshoorn,,,Garden Route,"""Extensive damage was also caused to the Swartberg Pass between Prince Albert and Oudtshoorn resulting in the closure of the road.""",20170401_SAWS_KleinKaroo_PrinceAlbert_Oudshoom.pdf,https://journals.co.za/doi/epdf/10.10520/EJC-773a62b9b,,,,,,SAWSValidation,2017,Other / needs review,,,garden route
EVT-00320,SAWS,4.5,2017-04-01,2017-04-08,2017-04-09,A passenger bus was trapped in a mountain pass due to bridge flooding.,Meiringspoort Pass,,,Garden Route,"""A passen-ger bus was trapped for some time in the pass.""",20170401_SAWS_KleinKaroo_PrinceAlbert_Oudshoom.pdf,https://journals.co.za/doi/epdf/10.10520/EJC-773a62b9b,,,,,,SAWSValidation,2017,Other / needs review,,,garden route
EVT-00321,SAWS,4.5,2017-04-01,2017-04-08,2017-04-09,A person went missing after their vehicle was swept away by floodwaters.,Road between Klaarstroom and Prince Albert,,,Central Karoo,"""One of four people travelling in a car between Klaar-stroom and Prince Albert was missing after their car was washed off the road by the floodwater.""",20170401_SAWS_KleinKaroo_PrinceAlbert_Oudshoom.pdf,https://journals.co.za/doi/epdf/10.10520/EJC-773a62b9b,,,,,,SAWSValidation,2017,Other / needs review,,,central karoo
EVT-00322,SAWS,4.5,2017-04-01,2017-04-08,2017-04-09,Two paramedics and a patient were stranded in the cold for hours after being forced to abandon their ambulance.,Road between Klaarstroom and Prince Albert,,,Central Karoo,"""two paramedics and a patient abandoned the ambulance they were travelling in and stood in the cold for hours.""",20170401_SAWS_KleinKaroo_PrinceAlbert_Oudshoom.pdf,https://journals.co.za/doi/epdf/10.10520/EJC-773a62b9b,,,,,,SAWSValidation,2017,Other / needs review,,,central karoo
EVT-00323,SAWS,1.3,2018-02-01,2018-02-12,,Houses and local businesses suffered inundation of ground floors.,Hermanus,,,Overberg,"""Flooding also occurred in Hermanus where hous-es and businesses were flooded.""",20180201_SAWS_Hermanus_Tulbagh_Caledon_Montagu.pdf,https://journals.co.za/doi/epdf/10.10520/EJC-ecfdf59b2,,,,,,SAWSValidation,2018,Buildings/homes/roads flooded or damaged,,,overberg
EVT-00324,SAWS,1.3,2018-02-01,2018-02-12,,Streets closed and rendered impassable to prevent further water ingress into buildings.,Hermanus,,,Overberg,"""Some of the streets were closed in an attempt to prevent cars to drive through the water and pushing more water from the flooded roads to into adjacent buildings.""",20180201_SAWS_Hermanus_Tulbagh_Caledon_Montagu.pdf,https://journals.co.za/doi/epdf/10.10520/EJC-ecfdf59b2,,,,,,SAWSValidation,2018,Buildings/homes/roads flooded or damaged,,,overberg
EVT-00325,SAWS,1.3,2018-02-01,2018-02-13,,Farm road rendered impassable by floodwaters.,"Farm road, Montagu area",,,Cape Winelands,"""In another incident, which happened on a farm road in the Montagu area, a vehicle with four occupants was also washed away and they lost their lives.""",20180201_SAWS_Hermanus_Tulbagh_Caledon_Montagu.pdf,https://journals.co.za/doi/epdf/10.10520/EJC-ecfdf59b2,,,,,,SAWSValidation,2018,Buildings/homes/roads flooded or damaged,,,cape winelands
EVT-00326,SAWS,1.3,2018-02-01,2018-02-13,,"Road pass rendered impassable by a large mass of water, washing a vehicle away.",High Noon Pass in Caledon,,,Overberg,"""Five occupants of a vehicle travelling on High Noon Pass in Caledon were affected by a big mass of water coming to-wards them. They jumped out of the vehicle and were washed away.""",20180201_SAWS_Hermanus_Tulbagh_Caledon_Montagu.pdf,https://journals.co.za/doi/epdf/10.10520/EJC-ecfdf59b2,,,,,,SAWSValidation,2018,Buildings/homes/roads flooded or damaged,,,overberg
EVT-00327,SAWS,1.6,2018-02-01,2018-02-12,,"Farm roads washed away due to cloudburst and runoff, preventing access to town.",Tulbagh,,,Cape Winelands,"""Farm roads were also washed away preventing farmers from reaching the town.""",20180201_SAWS_Hermanus_Tulbagh_Caledon_Montagu.pdf,https://journals.co.za/doi/epdf/10.10520/EJC-ecfdf59b2,,,,,,SAWSValidation,2018,Homes damaged or destroyed,,,cape winelands
EVT-00328,SAWS,2.4,2018-02-01,2018-02-13,,A vehicle was washed away by floodwaters on a rural farm road.,"Farm road, Montagu area",,,Cape Winelands,"""In another incident, which happened on a farm road in the Montagu area, a vehicle with four occupants was also washed away and they lost their lives.""",20180201_SAWS_Hermanus_Tulbagh_Caledon_Montagu.pdf,https://journals.co.za/doi/epdf/10.10520/EJC-ecfdf59b2,,,,,,SAWSValidation,2018,Other / needs review,,,cape winelands
EVT-00329,SAWS,2.4,2018-02-01,2018-02-13,,A vehicle was washed away by a large mass of water on a mountain pass.,High Noon Pass in Caledon,,,Overberg,"""Five occupants of a vehicle travelling on High Noon Pass in Caledon were affected by a big mass of water coming to-wards them. They jumped out of the vehicle and were washed away.""",20180201_SAWS_Hermanus_Tulbagh_Caledon_Montagu.pdf,https://journals.co.za/doi/epdf/10.10520/EJC-ecfdf59b2,,,,,,SAWSValidation,2018,Other / needs review,,,overberg
EVT-00330,SAWS,3.4,2018-02-01,2018-02-12,,Farm roads were washed away (earth material eroded) due to a cloudburst and heavy runoff.,Tulbagh,,,Cape Winelands,"""Farm roads were also washed away preventing farmers from reaching the town.""",20180201_SAWS_Hermanus_Tulbagh_Caledon_Montagu.pdf,https://journals.co.za/doi/epdf/10.10520/EJC-ecfdf59b2,,,,,,SAWSValidation,2018,Other / needs review,,,cape winelands
EVT-00331,SAWS,3.4,2018-02-01,2018-02-12,,Plum and pear harvests suffered over 50% damage as fruit was ripped from trees.,Tulbagh,,,Cape Winelands,"""Some farmers estimated the damage to plum and pear harvests on more than 50%.""",20180201_SAWS_Hermanus_Tulbagh_Caledon_Montagu.pdf,https://journals.co.za/doi/epdf/10.10520/EJC-ecfdf59b2,,,,,,SAWSValidation,2018,Other / needs review,,,cape winelands
